id;name;image;englishName
37;Normal;https://static.wikia.nocookie.net/pokemongo/images/f/fb/Normal.png;normal
38;Combat;https://static.wikia.nocookie.net/pokemongo/images/3/30/Fighting.png;fighting
39;Vol;https://static.wikia.nocookie.net/pokemongo/images/7/7f/Flying.png;flying
40;Poison;https://static.wikia.nocookie.net/pokemongo/images/0/05/Poison.png;poison
41;Sol;https://static.wikia.nocookie.net/pokemongo/images/8/8f/Ground.png;ground
42;Roche;https://static.wikia.nocookie.net/pokemongo/images/0/0b/Rock.png;rock
43;Insecte;https://static.wikia.nocookie.net/pokemongo/images/7/7d/Bug.png;bug
44;Spectre;https://static.wikia.nocookie.net/pokemongo/images/a/ab/Ghost.png;ghost
45;Acier;https://static.wikia.nocookie.net/pokemongo/images/c/c9/Steel.png;steel
46;Feu;https://static.wikia.nocookie.net/pokemongo/images/3/30/Fire.png;fire
47;Eau;https://static.wikia.nocookie.net/pokemongo/images/9/9d/Water.png;water
48;Plante;https://static.wikia.nocookie.net/pokemongo/images/c/c5/Grass.png;grass
49;Électrik;https://static.wikia.nocookie.net/pokemongo/images/2/2f/Electric.png;electric
50;Psy;https://static.wikia.nocookie.net/pokemongo/images/2/21/Psychic.png;psychic
51;Glace;https://static.wikia.nocookie.net/pokemongo/images/7/77/Ice.png;ice
52;Dragon;https://static.wikia.nocookie.net/pokemongo/images/c/c7/Dragon.png;dragon
53;Ténèbres;https://static.wikia.nocookie.net/pokemongo/images/0/0e/Dark.png;dark
54;Fée;https://static.wikia.nocookie.net/pokemongo/images/4/43/Fairy.png;fairy
